#Aegean version 2.3.0-(2022-08-17)
# on dataset: /mnt/storage-work/wushaofeng/work/sim/ska1-low/SDP-39/sim2/QA_new/aegean/CIP_t1_SDP-39_sim2_noise1e-5_fov4.5_nmoment3_cip.taylor.0.restored.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0038,00) -0.000015  0.000588 23:06:00.90  -10:19:20.87 346.5037626  0.0001161 -10.3224649  0.0001091  0.005534  0.000576  0.005632  0.000603  8.74  0.16  8.01  0.14   65.6   0.9   0000000
(0039,00) -0.000028  0.005578 23:16:09.16  -10:19:11.06 349.0381626  0.0001359 -10.3197376  0.0001368  0.033697  0.005598  0.020696  0.003488  6.50  0.13  6.50  0.13  -20.4  69.7   0000000
(0040,00) -0.000025  0.000626 23:09:28.89  -10:19:15.91 347.3703902  0.0001016 -10.3210850  0.0000982  0.006333  0.000615  0.005799  0.000587  8.22  0.17  7.66  0.15   58.5   0.9   0000000
(0041,00) -0.000020  0.000540 23:15:02.01  -10:18:58.76 348.7583738  0.0000453 -10.3163218  0.0000451  0.012589  0.000522  0.013037  0.000562  8.46  0.07  8.42  0.07   60.2   4.7   0000000
(0042,00) -0.000014  0.000718 23:05:44.35  -10:18:57.88 346.4348048  0.0000104 -10.3160788  0.0000102  0.074512  0.001427  0.076408  0.001483  8.63  0.02  8.18  0.02   60.9   0.1   0000000
(0043,00) -0.000034  0.000558 23:09:42.90  -10:19:06.40 347.4287538  0.0001825 -10.3184449  0.0002341  0.003080  0.000540  0.003424  0.000635  9.79  0.24  7.81  0.43  -27.2   0.5   0000000
(0044,00) -0.000019  0.000602 23:06:08.37  -10:18:54.88 346.5348870  0.0000154 -10.3152441  0.0000144  0.042363  0.000616  0.042492  0.000641  8.61  0.02  8.01  0.02   60.9   0.1   0000000
(0045,00) -0.000036  0.000678 23:03:58.17  -10:18:47.38 345.9923919  0.0001488 -10.3131620  0.0001611  0.005086  0.000638  0.006893  0.000900 10.10  0.23  9.23  0.27  -28.2   0.9   0000000
(0046,00) -0.000022  0.000596 23:13:33.51  -10:18:32.70 348.3896193  0.0000088 -10.3090839  0.0000084  0.070588      nan  0.072001  0.000155  8.55  0.01  8.20  0.01   61.5   0.1   0000000
(0047,00) -0.000024  0.000577 23:13:27.47  -10:18:27.47 348.3644535  0.0000824 -10.3076295  0.0000834  0.007750  0.000548  0.009440  0.000693  9.22  0.12  9.08  0.13  -28.7   3.2   0000000
(0048,00) -0.000054  0.001210 23:16:25.53  -10:18:17.12 349.1063762  0.0000738 -10.3047569  0.0000746  0.018087  0.001180  0.020551  0.001385  8.92  0.10  8.76  0.11  -26.8   2.6   0000000
(0049,00)  0.000006  0.000582 23:10:43.28  -10:18:20.69 347.6803503  0.0000350 -10.3057482  0.0000332  0.017870  0.000570  0.017728  0.000588  8.65  0.06  7.89  0.05   59.6   0.2   0000000
(0050,00) -0.000026  0.000431 23:07:09.27  -10:18:18.11 346.7886130  0.0000587 -10.3050292  0.0000596  0.007888  0.000421  0.008467  0.000478  8.64  0.11  8.54  0.11  -36.4   3.2   0000000
(0051,00) -0.000033  0.000661 23:10:36.07  -10:18:16.04 347.6502933  0.0000194 -10.3044559  0.0000192  0.035623  0.000637  0.035001  0.000650  8.31  0.03  8.13  0.03   60.7   0.5   0000000
(0052,00) -0.000032  0.000618 23:15:09.07  -10:17:53.51 348.7877991  0.0001184 -10.2981986  0.0001196  0.005344  0.000608  0.005075  0.000602  8.14  0.19  8.03  0.20  -31.7   5.8   0000000
(0053,00)  0.000000  0.000471 23:10:05.86  -10:17:53.30 347.5244004  0.0001264 -10.2981400  0.0001295  0.003792  0.000462  0.003631  0.000457  8.20  0.17  8.03  0.18  -26.7   4.0   0000000
(0054,00)  0.000005  0.000596 23:18:55.20  -10:17:28.68 349.7299901  0.0000807 -10.2912990  0.0000765  0.008039  0.000576  0.008420  0.000629  8.83  0.14  8.16  0.12   58.2   0.6   0000000
(0055,00) -0.000022  0.001029 23:01:11.45  -10:17:27.28 345.2976951  0.0000342 -10.2909112  0.0000335  0.032394  0.001006  0.033749  0.001087  8.72  0.05  8.22  0.05   61.8   0.4   0000000
(0056,00) -0.000012  0.000527 23:03:16.17  -10:17:31.66 345.8173852  0.0000586 -10.2921268  0.0000570  0.009646  0.000514  0.009896  0.000549  8.70  0.10  8.11  0.09   59.4   0.5   0000000
(0057,00)  0.000017  0.000693 23:11:10.10  -10:17:39.49 347.7920936  0.0000857 -10.2943019  0.0000889  0.008707  0.000657  0.010272  0.000810  9.25  0.14  8.77  0.15  -31.2   1.0   0000000
(0058,00) -0.000022  0.000554 23:18:10.69  -10:17:12.13 349.5445530  0.0001090 -10.2867039  0.0000925  0.005768  0.000536  0.005804  0.000555  9.15  0.15  7.56  0.11   64.5   0.4   0000000
