# Number of sources: 8064
# RA (deg), Dec (deg), I (Jy), Q (Jy), U (Jy), V (Jy), Ref. freq. (Hz), Spectral index, Rotation measure (rad/m^2), FWHM major (arcsec), FWHM minor (arcsec), Position angle (deg)
 348.287292, -10.907943, 3.395568e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.696225e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.046814, -11.004683, 5.300276e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.656372, -11.016256, 4.405111e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.689636, -11.065907, 3.500941e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.805695, -10.986866, 1.536170e-04, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.522614, -10.982378, 2.837051e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.313671e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.636871, -10.969978, 2.031340e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.963842e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.014252, -10.886185, 8.834825e-03, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.159882, -10.937839, 1.235538e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.982495e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.770020, -10.870977, 8.765800e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.792138e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.812164, -10.892031, 1.768292e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.103848e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.667084, -10.894358, 1.212274e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-4.545786e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.203339, -10.842806, 2.130698e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.973594e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.165894, -10.860313, 2.245427e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.611193e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.569580, -10.855659, 8.416808e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.548004, -10.830995, 1.009775e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.797989e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.030365, -10.785333, 1.858204e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.006005e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.712708, -10.788689, 3.399740e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.948430e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.292450, -10.824188, 1.775640e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.482249e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.048706, -10.778316, 2.952737e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.749258e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.009705, -10.749086, 1.163936e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.042767e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.178986, -10.738914, 7.238073e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.383957e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.292206, -10.712314, 2.751574e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.561308e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.157990, -10.741643, 1.505585e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.588753e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.147919, -10.770582, 2.646858e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.201646e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.552582, -10.686082, 4.021340e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.124156e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.463287, -10.681674, 1.847894e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-4.380093e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.103607, -10.689116, 1.280865e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.438530e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.820862, -10.647175, 3.705054e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.188629, -10.647996, 2.071447e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.845105e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.922974, -10.632417, 6.140752e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.992059e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.445496, -10.701728, 1.503938e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.729404e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.455963, -10.679198, 8.191629e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.902899e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.684875, -10.584053, 1.230352e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.005705e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.633972, -10.622656, 9.663250e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.848051e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.261414, -10.605102, 6.000276e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.531206e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.844238, -10.594611, 7.391168e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.297668, -10.586724, 2.687201e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.015289, -10.566753, 3.198213e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.920197, -10.492269, 1.251198e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.802030e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.832306, -10.533442, 7.643849e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.722731e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.687347, -10.518151, 2.362039e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.649261e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.680237, -10.531660, 1.539273e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-4.309322e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.876770, -10.411436, 6.158048e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.229416e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.341034, -10.446839, 1.219843e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.927180e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.971100, -10.460119, 2.383567e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.441170e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.582184, -10.504016, 2.064319e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.103577, -10.474059, 8.268221e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.722778, -10.445212, 9.134075e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.885505e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.688385, -10.406879, 4.797440e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.864349, -10.472100, 3.808304e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.383279e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.127869, -10.464458, 2.867858e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.820665e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.400177, -10.464095, 6.054441e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.713379, -10.397489, 6.070334e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.206909, -10.447923, 1.909696e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.712845e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.892883, -10.391807, 1.781322e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.184742e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.039124, -10.334049, 6.018782e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.023980e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.991272, -10.367536, 8.272846e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.152863e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.049286, -10.361436, 3.715191e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.430389, -10.346294, 6.095604e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.238544e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.471680, -10.380658, 5.978706e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.405517e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.857941, -10.298488, 7.623864e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.389618, -10.309085, 1.181882e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.033319e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.757355, -10.332191, 9.606867e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.336033e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.189392, -10.281298, 7.963569e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.732437e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.370697, -10.321066, 1.522213e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.102173, -10.211558, 5.079944e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.805756, -10.237832, 1.220923e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.730581e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.500824, -10.260008, 4.812943e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.914673, -10.274287, 6.361132e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.914611e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.117615, -10.192686, 3.298345e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.614574e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.288269, -10.191125, 2.069625e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.227977e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.589264, -10.180123, 6.863154e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.737877e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 350.317352, -10.144992, 5.032110e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.843744e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.347595, -10.106495, 4.663721e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-4.835214e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.661163, -10.148231, 1.125927e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.224476e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 349.660400, -10.087991, 6.907414e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.033003e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.476837, -10.159443, 9.393510e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 345.260315, -10.161604, 4.127507e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.368522e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
